case_name,year,link,classification,sme_or_ml_classified
Odey & Ors v Barber [2006] EWHC 3109 (Ch) (29 November 2006),2006,https://www.bailii.org/ew/cases/EWHC/Ch/2006/3109.html,0,ml
Broughton v Bower & Anor [2006] EWCA Civ 632 (25 May 2006),2006,https://www.bailii.org/ew/cases/EWCA/Civ/2006/632.html,1,expert
Toth v Jarman [2006] EWCA Civ 1028 (19 July 2006),2006,https://www.bailii.org/ew/cases/EWCA/Civ/2006/1028.html,0,expert
Greenore Port Ltd v Technical & General Guarantee Company Ltd [2006] EWHC 3119 (TCC) (30 November 2006),2006,https://www.bailii.org/ew/cases/EWHC/TCC/2006/3119.html,0,ml
S v S [2006] EWHC 2339 (Fam) (22 September 2006),2006,https://www.bailii.org/ew/cases/EWHC/Fam/2006/2339.html,0,ml
"Countryside Alliance & Ors, R (on the application of) v Attorney General & Anor Rev 2 [2006] EWCA Civ 817 (23 June 2006)",2006,https://www.bailii.org/ew/cases/EWCA/Civ/2006/817.html,1,expert
Director of Public Prosecutions v Milton [2006] EWHC 242 (Admin) (01 February 2006),2006,https://www.bailii.org/ew/cases/EWHC/Admin/2006/242.html,0,ml
"French & Anor, R. v (Attorney General's Reference No 14 & No 15 of 2006) [2006] EWCA Crim 1335 (08 June 2006)",2006,https://www.bailii.org/ew/cases/EWCA/Crim/2006/1335.html,0,ml
"Reference 99 of 2005 By the Attorney General, Re S.36 Criminal Justice Act 1988 [2006] EWCA Crim 228 (15 February 2006)",2006,https://www.bailii.org/ew/cases/EWCA/Crim/2006/228.html,0,ml
"Nicholson, R. v [2006] EWCA Crim 1518 (15 May 2006)",2006,https://www.bailii.org/ew/cases/EWCA/Crim/2006/1518.html,0,ml
Merelie v Newcastle Primary Care Trust [2006] EWHC 1433 (QB) (20 June 2006),2006,https://www.bailii.org/ew/cases/EWHC/QB/2006/1433.html,0,ml
Waters v R [2006] EWCA Crim 139 (14 February 2006),2006,https://www.bailii.org/ew/cases/EWCA/Crim/2006/139.html,0,ml
"Haynes, R (on the application of) v Stafford Borough Council [2006] EWHC 1366 (Admin) ()",2006,https://www.bailii.org/ew/cases/EWHC/Admin/2006/1366.html,0,ml
Snookes v Jani-King (GB) Ltd. [2006] EWHC 289 (QB) (23 February 2006),2006,https://www.bailii.org/ew/cases/EWHC/QB/2006/289.html,0,ml
Lloyd v Svenby [2006] EWHC 315 (QB) (27 February 2006),2006,https://www.bailii.org/ew/cases/EWHC/QB/2006/315.html,0,ml
"Animal Defenders International, R (on the application of) v Secretary of State for Culture Media & Sport [2006] EWHC 3069 (Admin) (04 December 2006)",2006,https://www.bailii.org/ew/cases/EWHC/Admin/2006/3069.html,0,expert
Beddow v Cayzer [2006] EWHC 557 (QB) (20 March 2006),2006,https://www.bailii.org/ew/cases/EWHC/QB/2006/557.html,0,ml
"British Union for the Abolition of Vivisection, R (on the application of) v Secretary of State for the Home Department [2006] EWHC 250 (Admin) (31 January 2006)",2006,https://www.bailii.org/ew/cases/EWHC/Admin/2006/250.html,1,expert
X City Council v MB & Ors [2006] EWHC 168 (Fam) (13 February 2006),2006,https://www.bailii.org/ew/cases/EWHC/Fam/2006/168.html,0,ml
Turner v Jacob [2006] EWHC 1317 (Ch) (08 June 2006),2006,https://www.bailii.org/ew/cases/EWHC/Ch/2006/1317.html,0,expert
Garcia v East Lancashire Hospitals NHS Trust [2006] EWHC 2062 (QB) (11 August 2006),2006,https://www.bailii.org/ew/cases/EWHC/QB/2006/2062.html,0,ml
Oxford University v Webb [2006] EWHC 2490 (QB) (13 October 2006),2006,https://www.bailii.org/ew/cases/EWHC/QB/2006/2490.html,0,ml
Fairacre Investments Ltd.v Earlrose Golf & Leisure Ltd & Anor [2006] EWHC 678 (Ch) (21 February 2006),2006,https://www.bailii.org/ew/cases/EWHC/Ch/2006/678.html,0,ml
University of Southampton v Revenue & Customs [2006] EWHC 528 (Ch) (17 March 2006),2006,https://www.bailii.org/ew/cases/EWHC/Ch/2006/528.html,0,ml
United Utilities Water Plc v The Environment Agency for England and Wales [2006] EWHC 9 (QB) (13 January 2006),2006,https://www.bailii.org/ew/cases/EWHC/QB/2006/9.html,0,ml
Mear & Ors v Cambridgeshire County Council [2006] EWHC 2554 (Ch) (20 October 2006),2006,https://www.bailii.org/ew/cases/EWHC/Ch/2006/2554.html,0,ml
University of Oxford v Broughton & Ors [2006] EWHC 1233 (QB) (26 May 2006),2006,https://www.bailii.org/ew/cases/EWHC/QB/2006/1233.html,0,ml
"Bowman, R v [2006] EWCA Crim 417 (02 March 2006)",2006,https://www.bailii.org/ew/cases/EWCA/Crim/2006/417.html,0,ml
Wells v Mutchmeats Ltd & Anor [2006] EWCA Civ 963 (28 February 2006),2006,https://www.bailii.org/ew/cases/EWCA/Civ/2006/963.html,0,ml
"Begum, R (on the application of) v. Denbigh High School [2006] UKHL 15 (22 March 2006)",2006,https://www.bailii.org/uk/cases/UKHL/2006/15.html,0,expert
University of Oxford & Ors v Broughton & Ors [2006] EWCA Civ 1305 (15 August 2006),2006,https://www.bailii.org/ew/cases/EWCA/Civ/2006/1305.html,0,ml
S (A Child) [2006] EWCA Civ 1836 (06 December 2006),2006,https://www.bailii.org/ew/cases/EWCA/Civ/2006/1836.html,0,ml
"Royal Society for the Protection of Animals, R (on the application of) v C [2006] EWHC 1069 (Admin) (21 March 2006)",2006,https://www.bailii.org/ew/cases/EWHC/Admin/2006/1069.html,0,ml
"Horvath, R (on the application of) v Secretary of State For the Environment, Food & Rural Affairs [2006] EWHC 1833 (Admin) (21 July 2006)",2006,https://www.bailii.org/ew/cases/EWHC/Admin/2006/1833.html,0,ml
"Cox Skips Ltd, R (on the application of) v The First Secretary of State & Anor [2006] EWHC 2626 (Admin) (26 May 2006)",2006,https://www.bailii.org/ew/cases/EWHC/Admin/2006/2626.html,0,ml
"Parker, R (on the application of) v Bradford Crown Court [2006] EWHC 3213 (Admin) (20 December 2006)",2006,https://www.bailii.org/ew/cases/EWHC/Admin/2006/3213.html,0,ml
"Hall Hunter Partnership, R (on the application of) v First Secretary of State & Ors [2006] EWHC 3482 (Admin) (15 December 2006)",2006,https://www.bailii.org/ew/cases/EWHC/Admin/2006/3482.html,0,ml
Bristol & West Investments Plc v Tompkins [2006] EWCA Civ 977 (26 June 2006),2006,https://www.bailii.org/ew/cases/EWCA/Civ/2006/977.html,0,ml
Royal Society for the Prevention of Cruelty To Animals v Chester Crown Court [2006] EWHC 1273 (Admin) (17 May 2006),2006,https://www.bailii.org/ew/cases/EWHC/Admin/2006/1273.html,1,ml
"O'Brien & Anor, R (on the application of) v Basildon District Council [2006] EWHC 1346 (Admin) (12 April 2006)",2006,https://www.bailii.org/ew/cases/EWHC/Admin/2006/1346.html,0,ml
Holton v General Medical Council [2006] EWHC 2960 (Admin) (23 November 2006),2006,https://www.bailii.org/ew/cases/EWHC/Admin/2006/2960.html,0,ml
"Casey & Ors, R (on the application of) v Crawley Borough Council & Anor [2006] EWHC 301 (Admin) (01 March 2006)",2006,https://www.bailii.org/ew/cases/EWHC/Admin/2006/301.html,0,ml
Norbrook Laboratories Ltd v. Bomac Laboratories Ltd (New Zealand) [2006] UKPC 25 (4 May 2006),2006,https://www.bailii.org/uk/cases/UKPC/2006/25.html,0,ml
MacLeod v. The Royal College of Veterinary Surgeons (The Disciplinary Committee of the RCVS) [2006] UKPC 39 (24 July 2006),2006,https://www.bailii.org/uk/cases/UKPC/2006/39.html,1,ml
Mullins v McFarlane & Anor [2006] EWHC 986 (QB) (05 May 2006),2006,https://www.bailii.org/ew/cases/EWHC/QB/2006/986.html,0,expert
"National Grid Gas Plc, R (on the application of) v The Environment Agency [2006] EWHC 1083 (Admin) (17 May 2006)",2006,https://www.bailii.org/ew/cases/EWHC/Admin/2006/1083.html,0,ml
F (Children) [2006] EWCA Civ 1345 (18 October 2006),2006,https://www.bailii.org/ew/cases/EWCA/Civ/2006/1345.html,0,ml
Cresswell & Anor v DPP [2006] EWHC 3379 (Admin) (30 November 2006),2006,https://www.bailii.org/ew/cases/EWHC/Admin/2006/3379.html,0,ml
Smith v The First Scretary of State & Anor [2006] EWHC 3014 (Admin) (03 November 2006),2006,https://www.bailii.org/ew/cases/EWHC/Admin/2006/3014.html,0,expert
Glyn v McGarel-Groves [2006] EWCA Civ 998 (14 July 2006),2006,https://www.bailii.org/ew/cases/EWCA/Civ/2006/998.html,0,ml
Ashley & Anor v Sussex Police [2006] EWCA Civ 1085 (27 July 2006),2006,https://www.bailii.org/ew/cases/EWCA/Civ/2006/1085.html,0,ml
Clark v Bowlt [2006] EWCA Civ 978 (26 June 2006),2006,https://www.bailii.org/ew/cases/EWCA/Civ/2006/978.html,0,ml
Vibixa Ltd v Komori UK Ltd & Ors [2006] EWCA Civ 536 (09 May 2006),2006,https://www.bailii.org/ew/cases/EWCA/Civ/2006/536.html,0,ml
Aerotel Ltd. v Telco Holdings Ltd & Ors Rev 1 [2006] EWCA Civ 1371 (27 October 2006),2006,https://www.bailii.org/ew/cases/EWCA/Civ/2006/1371.html,0,ml
Dudarec v Andrews & Ors [2006] EWCA Civ 256 (22 March 2006),2006,https://www.bailii.org/ew/cases/EWCA/Civ/2006/256.html,0,ml
Mid Suffolk District Council v Clarke [2006] EWCA Civ 71 (15 February 2006),2006,https://www.bailii.org/ew/cases/EWCA/Civ/2006/71.html,0,ml
Sportswear Spa & Anor v Stonestyle Ltd [2006] EWCA Civ 380 (11 April 2006),2006,https://www.bailii.org/ew/cases/EWCA/Civ/2006/380.html,0,ml
CL v East Riding Yorkshire Council & Ors [2006] EWCA Civ 49 (07 February 2006),2006,https://www.bailii.org/ew/cases/EWCA/Civ/2006/49.html,0,ml
"Jones, R. v [2006] UKHL 16 (29 March 2006)",2006,https://www.bailii.org/uk/cases/UKHL/2006/16.html,0,ml
Oxfordshire County Council v. Oxford City Council & Ors (2005) and others [2006] UKHL 25 (24 May 2006),2006,https://www.bailii.org/uk/cases/UKHL/2006/25.html,0,ml
Sutradhar v. Natural Environment Research Council [2006] UKHL 33 (5 July 2006),2006,https://www.bailii.org/uk/cases/UKHL/2006/33.html,0,ml
IVAX Pharmaceuticals (UK) Ltd v Chugai Seiyaku Kabushiki Kaisha [2006] EWHC 756 (Pat) (10 April 2006),2006,https://www.bailii.org/ew/cases/EWHC/Patents/2006/756.html,0,expert
Conor Medsystems Inc v Angiotech Pharmaceuticals Inc & Anor [2006] EWHC 260 (Pat) (24 February 2006),2006,https://www.bailii.org/ew/cases/EWHC/Patents/2006/260.html,0,expert
NA v MA [2006] EWHC 2900 (Fam) (24 November 2006),2006,https://www.bailii.org/ew/cases/EWHC/Fam/2006/2900.html,0,expert
CGU International Insurance Plc & Ors v Astrazeneca Insurance Co Ltd. [2006] EWCA Civ 1340 (16 October 2006),2006,https://www.bailii.org/ew/cases/EWCA/Civ/2006/1340.html,0,ml
"Winchester College, Warden & Fellows Of & Anor R (on the application of) v Food & Rural Affairs [2007] EWHC 2786 (Admin) (28 November 2007)",2007,https://www.bailii.org/ew/cases/EWHC/Admin/2007/2786.html,0,ml
Actavis UK Ltd. v Merck & Co. Inc Rev 1 [2007] EWHC 1311 (Pat) (06 June 2007),2007,https://www.bailii.org/ew/cases/EWHC/Patents/2007/1311.html,0,ml
Huntingdon Life Sciences Group Plc & Anor v Stop Huntingdon Animal Cruelty (SHAC) [2007] EWHC 522 (QB) (15 March 2007),2007,https://www.bailii.org/ew/cases/EWHC/QB/2007/522.html,0,ml
"SPCM SA & Ors, R (on the application of) v Secretary of State for Environment, Food & Rural Affairs Rev 1 [2007] EWHC 2610 (Admin) (11 October 2007)",2007,https://www.bailii.org/ew/cases/EWHC/Admin/2007/2610.html,0,ml
RWE Npower plc & Ors v Carrol & Ors [2007] EWHC 947 (QB) (27 April 2007),2007,https://www.bailii.org/ew/cases/EWHC/QB/2007/947.html,0,ml
Smithkline Beecham Plc & Ors v Avery & Ors [2007] EWHC 948 (QB) (27 April 2007),2007,https://www.bailii.org/ew/cases/EWHC/QB/2007/948.html,0,ml
Whaley & Anor v Lord Advocate (Scotland) [2007] UKHL 53 (28 November 2007),2007,https://www.bailii.org/uk/cases/UKHL/2007/53.html,1,expert
Moncrieff & Anor v. Jamieson & Ors (Scotland) [2007] UKHL 42 (17 October 2007),2007,https://www.bailii.org/uk/cases/UKHL/2007/42.html,0,expert
Harrison v R. [2007] EWCA Crim 2976 (05 December 2007),2007,https://www.bailii.org/ew/cases/EWCA/Crim/2007/2976.html,0,expert
AA (Sudan) v Secretary of State for the Home Department [2007] EWCA Civ 95 (31 January 2007),2007,https://www.bailii.org/ew/cases/EWCA/Civ/2007/95.html,0,expert
Procter & Gamble Company v Reckitt Benckiser (UK) Ltd [2007] EWCA Civ 936 (10 October 2007),2007,https://www.bailii.org/ew/cases/EWCA/Civ/2007/936.html,0,expert
Novartis Grimsby Ltd v Cookson [2007] EWCA Civ 1261 (29 November 2007),2007,https://www.bailii.org/ew/cases/EWCA/Civ/2007/1261.html,0,expert
Williams v Birmingham City Council [2007] EWCA Civ 691 (14 June 2007),2007,https://www.bailii.org/ew/cases/EWCA/Civ/2007/691.html,0,expert
Revenue and Customs v Royal Society for the Prevention of Cruelty To Animals [2007] EWHC 422 (Ch) (08 March 2007),2007,https://www.bailii.org/ew/cases/EWHC/Ch/2007/422.html,0,expert
Hazlewood Grocery Ltd v Lion Foods Ltd [2007] EWHC B5 (QB) (26 July 2007),2007,https://www.bailii.org/ew/cases/EWHC/QB/2007/B5.html,0,ml
"Countryside Alliance and others, R (on the application of) v Attorney General & Anor [2007] UKHL 52 (28 November 2007)",2007,https://www.bailii.org/uk/cases/UKHL/2007/52.html,1,expert
"Waltham Forest NHS Primary Care Trust & Anor v Malik, R (on the application of) [2007] EWCA Civ 265 (28 March 2007)",2007,https://www.bailii.org/ew/cases/EWCA/Civ/2007/265.html,0,ml
Surayanda v The Welsh Ministers [2007] EWCA Civ 893 (23 July 2007),2007,https://www.bailii.org/ew/cases/EWCA/Civ/2007/893.html,1,ml
"Haase, R (on the application of) v Independent Adjudicator & Ors [2007] EWHC 3079 (Admin) (20 December 2007)",2007,https://www.bailii.org/ew/cases/EWHC/Admin/2007/3079.html,0,ml
Walker v. The Royal College of Veterinary Surgeons (RCVS) (21 November 2007) [2007] UKPC 64 (21 November 2007),2007,https://www.bailii.org/uk/cases/UKPC/2007/64.html,0,ml
Bain v. The Queen (New Zealand) [2007] UKPC 33 (10 May 2007),2007,https://www.bailii.org/uk/cases/UKPC/2007/33.html,0,ml
Nottinghamshire Fire and Rescue Authority & Anor v The Fire Brigades Union and Ors [2007] EWCA Civ 240 (28 February 2007),2007,https://www.bailii.org/ew/cases/EWCA/Civ/2007/240.html,0,ml
Huang v Secretary of State for the Home Department [2007] UKHL 11 (21 March 2007),2007,https://www.bailii.org/uk/cases/UKHL/2007/11.html,0,ml
Datec Electronics Holdings Ltd & Ors v. United Parcels Services Ltd [2007] UKHL 23 (16 May 2007),2007,https://www.bailii.org/uk/cases/UKHL/2007/23.html,0,ml
Islamic Republic of Iran v The Barakat Galleries Ltd [2007] EWCA Civ 1374 (21 December 2007),2007,https://www.bailii.org/ew/cases/EWCA/Civ/2007/1374.html,0,ml
"Randall, R v [2007] EWCA Crim 2257 (24 August 2007)",2007,https://www.bailii.org/ew/cases/EWCA/Crim/2007/2257.html,0,ml
Appiah & Anor v Bishop Douglass Roman Catholic High School [2007] EWCA Civ 10 (26 January 2007),2007,https://www.bailii.org/ew/cases/EWCA/Civ/2007/10.html,0,ml
Anglo Petroleum Ltd & Anor v TFB (Mortgages) Ltd [2007] EWCA Civ 456 (16 May 2007),2007,https://www.bailii.org/ew/cases/EWCA/Civ/2007/456.html,0,ml
London Borough of Hillingdon v Vijayatunga [2007] EWCA Civ 730 (28 June 2007),2007,https://www.bailii.org/ew/cases/EWCA/Civ/2007/730.html,0,ml
"Horvath, R (on the application of) v Secretary of State for Environment, Food and Rural Affairs [2007] EWCA Civ 620 (28 June 2007)",2007,https://www.bailii.org/ew/cases/EWCA/Civ/2007/620.html,0,ml
"Horner, R (on the application of) v Lancashire County Council & Anor [2007] EWCA Civ 784 (30 July 2007)",2007,https://www.bailii.org/ew/cases/EWCA/Civ/2007/784.html,0,ml
Welsh v Stokes & Anor [2007] EWCA Civ 796 (27 July 2007),2007,https://www.bailii.org/ew/cases/EWCA/Civ/2007/796.html,0,ml
Mansfield District Council v Langridge [2007] EWCA Civ 303 (31 January 2007),2007,https://www.bailii.org/ew/cases/EWCA/Civ/2007/303.html,0,ml
"Zoolife International Ltd, R (on the application of) v Secretary of State for Environment, Food & Rural Affairs [2007] EWHC 2995 (Admin) (17 December 2007)",2007,https://www.bailii.org/ew/cases/EWHC/Admin/2007/2995.html,0,ml
Heathrow Airport Ltd & Ors v Garman & Ors [2007] EWHC 1957 (QB) (06 August 2007),2007,https://www.bailii.org/ew/cases/EWHC/QB/2007/1957.html,0,ml
Residents Against Waste Site Ltd v Lancashire County Council & Anor [2007] EWHC 2558 (Admin) (07 November 2007),2007,https://www.bailii.org/ew/cases/EWHC/Admin/2007/2558.html,0,ml
Thorner v Curtis & Ors [2007] EWHC 2422 (Ch) (26 October 2007),2007,https://www.bailii.org/ew/cases/EWHC/Ch/2007/2422.html,0,ml
Teva Pharmaceutical Industries Ltd & Anor v Merrell Pharmaceuticals Inc & Anor [2007] EWHC 2276 (Ch) (12 October 2007),2007,https://www.bailii.org/ew/cases/EWHC/Ch/2007/2276.html,0,ml
Tomlinson v Revenue & Customs [2007] EWHC 2966 (Ch) (01 November 2007),2007,https://www.bailii.org/ew/cases/EWHC/Ch/2007/2966.html,0,ml
Eli Lilly & Company & Anor v 8 Pm Chemists Ltd [2007] EWHC 2829 (Ch) (23 November 2007),2007,https://www.bailii.org/ew/cases/EWHC/Ch/2007/2829.html,0,expert
Greater Manchester Police v Wigan Athletic Afc Ltd [2007] EWHC 3095 (Ch) (21 December 2007),2007,https://www.bailii.org/ew/cases/EWHC/Ch/2007/3095.html,0,ml
"Suryananda, R (on the application of) v The Welsh Ministers [2007] EWHC 1736 (Admin) (16 July 2007)",2007,https://www.bailii.org/ew/cases/EWHC/Admin/2007/1736.html,1,expert
Jersey Fishermen's Association Ltd & Ors v. States of Guernsey (Guernsey) [2007] UKPC 30 (2 May 2007),2007,https://www.bailii.org/uk/cases/UKPC/2007/30.html,0,expert
"Arun District Council, R (on the application of) v Spooner [2007] EWHC 307 (Admin) (17 January 2007)",2007,https://www.bailii.org/ew/cases/EWHC/Admin/2007/307.html,0,expert
Director of Public Prosecutions v Gohill & Walsh [2007] EWHC 239 (Admin) (05 February 2007),2007,https://www.bailii.org/ew/cases/EWHC/Admin/2007/239.html,0,expert
Tesco Stores Ltd. v Constable & Ors [2007] EWHC 2088 (Comm) (14 September 2007),2007,https://www.bailii.org/ew/cases/EWHC/Comm/2007/2088.html,0,ml
Dean v Barclays Bank Plc [2007] EWHC 1390 (Ch) (22 March 2007),2007,https://www.bailii.org/ew/cases/EWHC/Ch/2007/1390.html,0,expert
"Federation of Tour Operators & Ors, R (on the application of) v HM Revenue & Customs & Ors [2007] EWHC 2062 (Admin) (04 September 2007)",2007,https://www.bailii.org/ew/cases/EWHC/Admin/2007/2062.html,0,ml
Hussey v Royal Society for the Prevention of Cruelty To Animals [2007] EWHC 1083 (Admin) (05 March 2007),2007,https://www.bailii.org/ew/cases/EWHC/Admin/2007/1083.html,1,expert
MM v VM [2007] EWHC 1820 (Fam) (26 July 2007),2007,https://www.bailii.org/ew/cases/EWHC/Fam/2007/1820.html,0,ml
"Elliott, R (on the application of) v First Secretary of State [2007] EWHC 3492 (Admin) (06 December 2007)",2007,https://www.bailii.org/ew/cases/EWHC/Admin/2007/3492.html,1,ml
Long & Ors v Sava [2007] EWHC 2087 (Ch) (28 September 2007),2007,https://www.bailii.org/ew/cases/EWHC/Ch/2007/2087.html,0,ml
HM Revenue & Customs v EB Central Services Ltd & Anor [2007] EWHC 201 (Ch) (09 February 2007),2007,https://www.bailii.org/ew/cases/EWHC/Ch/2007/201.html,0,ml
Mubarak v Mubarik & Ors [2007] EWHC 220 (Fam) (12 January 2007),2007,https://www.bailii.org/ew/cases/EWHC/Fam/2007/220.html,0,expert
Crane v Sky In-Home Service Ltd & Anor [2007] EWHC 66 (Ch) (26 January 2007),2007,https://www.bailii.org/ew/cases/EWHC/Ch/2007/66.html,0,ml
Shaw v Director of Public Prosecutions [2007] EWHC 207 (Admin) (25 January 2007),2007,https://www.bailii.org/ew/cases/EWHC/Admin/2007/207.html,1,ml
Irving v Revenue and Customs [2007] EWHC 147 (Ch) (08 February 2007),2007,https://www.bailii.org/ew/cases/EWHC/Ch/2007/147.html,0,ml
"Friends of the Earth, R (on the application of) v Food Standards Agency [2007] EWHC 558 (Admin) (22 February 2007)",2007,https://www.bailii.org/ew/cases/EWHC/Admin/2007/558.html,0,ml
X v Y School & Ors [2007] EWHC 298 (Admin) (21 February 2007),2007,https://www.bailii.org/ew/cases/EWHC/Admin/2007/298.html,0,ml
King v Royal Society for the Protection of Cruelty To Animals [2007] EWHC 637 (Admin) (05 March 2007),2007,https://www.bailii.org/ew/cases/EWHC/Admin/2007/637.html,1,ml
"Looe Fuels Ltd., R (on the application of) v Looe Harbour Commissioners [2007] EWHC 1141 (Admin) (27 April 2007)",2007,https://www.bailii.org/ew/cases/EWHC/Admin/2007/1141.html,0,ml
"Brewer & Ors, R (on the application of) v Three Rivers District Council [2007] EWHC 1290 (Admin) (30 April 2007)",2007,https://www.bailii.org/ew/cases/EWHC/Admin/2007/1290.html,0,ml
"Obasi, R (on the application of) v Secretary of State for the Home Department [2007] EWHC 381 (Admin) (16 February 2007)",2007,https://www.bailii.org/ew/cases/EWHC/Admin/2007/381.html,0,ml
"The British Union for the Abolition of Vivisection (BUAV), R (on the application of) v Secretary of State for the Home Department [2007] EWHC 1964 (Admin) (27 July 2007)",2007,https://www.bailii.org/ew/cases/EWHC/Admin/2007/1964.html,1,ml
Devenish Nutrition Ltd & Ors v Sanofi-Aventis SA (France) & Ors [2007] EWHC 2394 (Ch) (19 October 2007),2007,https://www.bailii.org/ew/cases/EWHC/Ch/2007/2394.html,0,ml
"Winchester City Council, R (on the application of) v Secretary Of State for Communities & Local Government & Anor [2007] EWHC 2303 (Admin) (20 September 2007)",2007,https://www.bailii.org/ew/cases/EWHC/Admin/2007/2303.html,0,ml
Monsanto Technology LLC v Cargill International SA & Anor [2007] EWHC 2257 (Pat) (10 October 2007),2007,https://www.bailii.org/ew/cases/EWHC/Patents/2007/2257.html,0,ml
Iran v The Barakat Galleries Ltd [2007] EWHC 705 (QB) (29 March 2007),2007,https://www.bailii.org/ew/cases/EWHC/QB/2007/705.html,0,ml
"Ewing, R (on the application of) v Davis [2007] EWHC 1730 (Admin) (02 July 2007)",2007,https://www.bailii.org/ew/cases/EWHC/Admin/2007/1730.html,0,ml
Generics (UK) Ltd & Ors v H Lundbeck A/S [2007] EWHC 1040 (Pat) (04 May 2007),2007,https://www.bailii.org/ew/cases/EWHC/Patents/2007/1040.html,0,ml
"Thames Water Utilities Ltd, R (on the application of) v Water Services Regulation Authority [2008] EWHC 1763 (QB) (28 July 2008)",2008,https://www.bailii.org/ew/cases/EWHC/QB/2008/1763.html,0,expert
Crown Estate Commissioners v Roberts & Anor [2008] EWHC 1302 (Ch) (13 June 2008),2008,https://www.bailii.org/ew/cases/EWHC/Ch/2008/1302.html,0,ml
Peabody Trust v Reeve [2008] EWHC 1432 (Ch) (02 June 2008),2008,https://www.bailii.org/ew/cases/EWHC/Ch/2008/1432.html,0,ml
Lucasfilm Ltd & Ors v Ainsworth & Anor [2008] EWHC 1878 (Ch) (31 July 2008),2008,https://www.bailii.org/ew/cases/EWHC/Ch/2008/1878.html,0,ml
The Solicitor for the Affairs of HM Treasury v Doveton & Anor [2008] EWHC 2812 (Ch) (13 November 2008),2008,https://www.bailii.org/ew/cases/EWHC/Ch/2008/2812.html,0,ml
J Alston & Sons Ltd v Bocm Pauls Ltd [2008] EWHC 3310 (Ch) (28 November 2008),2008,https://www.bailii.org/ew/cases/EWHC/Ch/2008/3310.html,0,ml
"Bailey, R. v [2008] EWCA Crim 817 (18 April 2008)",2008,https://www.bailii.org/ew/cases/EWCA/Crim/2008/817.html,0,expert
Langley v Preston Crown Court & Ors [2008] EWHC 2623 (Admin) (30 October 2008),2008,https://www.bailii.org/ew/cases/EWCA/Crim/2008/2623.html,0,expert
"Dr Christine Gill v Stephen Woodall, Stanley Anthony Lonsdale & the Royal Society for the Prevention and Cruelty To Animals [2008] EWHC 1326 (Ch) (22 May 2008)",2008,https://www.bailii.org/ew/cases/EWHC/Ch/2008/1326.html,0,ml
S v S [2008] EWHC 519 (Fam) (19 March 2008),2008,https://www.bailii.org/ew/cases/EWHC/Fam/2008/519.html,0,ml
Cobden Investments Ltd. v RWM Langport Ltd & Ors [2008] EWHC 2810 (Ch) (20 November 2008),2008,https://www.bailii.org/ew/cases/EWHC/Ch/2008/2810.html,0,ml
"British Board of Film Classification, R (on the application of) v Video Appeals Committee [2008] EWHC 203 (Admin) (24 January 2008)",2008,https://www.bailii.org/ew/cases/EWHC/Admin/2008/203.html,0,ml
"Risk Management Partners Ltd, R (on the application of) v The Council of London Borough of Brent [2008] EWHC 692 (Admin) (22 April 2008)",2008,https://www.bailii.org/ew/cases/EWHC/Admin/2008/692.html,0,ml
Royal Society for the Prevention of Cruelty to Animals v Munur & Anor [2008] EWHC 199 (Admin) (14 January 2008),2008,https://www.bailii.org/ew/cases/EWHC/Admin/2008/199.html,0,ml
S v Crown Prosecution Service [2008] EWHC 438 (Admin) (08 February 2008),2008,https://www.bailii.org/ew/cases/EWHC/Admin/2008/438.html,0,ml
JR Cussons & Son v Secretary of State for Communities and Local Government & Anor [2008] EWHC 443 (Admin) (20 February 2008),2008,https://www.bailii.org/ew/cases/EWHC/Admin/2008/443.html,0,ml
Zak v Regional Court of Bydgoszcz Poland [2008] EWHC 470 (Admin) (27 February 2008),2008,https://www.bailii.org/ew/cases/EWHC/Admin/2008/470.html,0,ml
BB v Cygnet Health Care [2008] EWHC 1259 (Admin) (04 March 2008),2008,https://www.bailii.org/ew/cases/EWHC/Admin/2008/1259.html,0,ml
"Catt, R (on the application of) v Secretary of State for Communities & Local Government & Anor [2008] EWHC 1042 (Admin) (25 April 2008)",2008,https://www.bailii.org/ew/cases/EWHC/Admin/2008/1042.html,0,ml
"Bailey & Ors, R (on the application of) v Secretary of State for Business, Enterprise & Regulatory Reform & Ors [2008] EWHC 1257 (Admin) (23 May 2008)",2008,https://www.bailii.org/ew/cases/EWHC/Admin/2008/1257.html,0,ml
"Irving, R (on the application of) v Secretary of State for Transport [2008] EWHC 1200 (Admin) (09 May 2008)",2008,https://www.bailii.org/ew/cases/EWHC/Admin/2008/1200.html,0,ml
"Mabanaft Ltd, R (on the application of) v Secretary of State for Trade & Industry [2008] EWHC 1052 (Admin) (14 May 2008)",2008,https://www.bailii.org/ew/cases/EWHC/Admin/2008/1052.html,0,ml
McCartney v McCartney [2008] EWHC 401 (Fam) (17 March 2008),2008,https://www.bailii.org/ew/cases/EWHC/Fam/2008/401.html,0,ml
"Littlewood, R (on the application of) v Bassetlaw District Council [2008] EWHC 1812 (Admin) (20 June 2008)",2008,https://www.bailii.org/ew/cases/EWHC/Admin/2008/1812.html,0,ml
"SK, R (on the application of) v Secretary of State for the Home Department [2008] EWHC 98 (Admin) (25 January 2008)",2008,https://www.bailii.org/ew/cases/EWHC/Admin/2008/98.html,0,ml
McKenny & Anor v Foster (t/a Foster Partnership) [2008] EWCA Civ 173 (06 March 2008),2008,https://www.bailii.org/ew/cases/EWCA/Civ/2008/173.html,0,ml
